reference_id,source_sheet,disease_name,microbe_name_raw,microbe_name_cn,microbe_key,genus_hint,taxon_level,abundance_change_raw,abundance_shift,microbe_role_raw,microbe_role_in_disease,disease_effect_on_microbe,desired_step1_effect,relation_confidence,mechanism_note,source_database,_merge_source_path,source_url,source_pmid_list,source_project_list,dominant_evidence_count,conflicting_evidence_count,dominant_pmid_count,conflicting_project_count,condition_comparator_list,node_label_list,condition1_id_list,condition2_id_list,source_branch_list
MDR_00212,gutm_disorder_human_phenotype,结直肠癌（CRC）,Fusobacterium,,fusobacterium,Fusobacterium,genus,increase; dominant_evidence=9; dominant_projects=2; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=22622349,24316595,26992426,27171425,28582482,28600626,29687353; dominant_projects=PRJEB10878,PRJNA397219; comparators=Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,22622349;24316595;26992426;27171425;28582482;28600626;29687353,PRJEB10878;PRJNA397219,9.0,0.0,7.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D006262;D009765,literature_human_phenotype;raw_human_phenotype
MDR_00213,gutm_disorder_human_phenotype,结直肠癌（CRC）,Hungatella,,hungatella,Hungatella,genus,increase; dominant_evidence=4; dominant_projects=4; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219,PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJDB4176;PRJEB10878;PRJNA397219;PRJNA399638,4.0,0.0,0.0,0.0,Health;Mucosal samples;Health,Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262;D009765,raw_human_phenotype
MDR_00214,gutm_disorder_human_phenotype,结直肠癌（CRC）,Hungatella hathewayi,,hungatellahathewayi,Hungatella,species,increase; dominant_evidence=3; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219; comparators=Health; sequencing=Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJDB4176;PRJEB10878;PRJNA397219,3.0,0.0,0.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D006262;D009765,raw_human_phenotype
MDR_00215,gutm_disorder_human_phenotype,结直肠癌（CRC）,Lachnospiraceae,,lachnospiraceae,Lachnospiraceae,family,decrease; dominant_evidence=4; dominant_projects=3; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJEB10878,PRJNA397219,PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJEB10878;PRJNA397219;PRJNA399638,4.0,0.0,0.0,0.0,Health;Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262;D009765,raw_human_phenotype
MDR_00216,gutm_disorder_human_phenotype,结直肠癌（CRC）,Lachnospirales,,lachnospirales,Lachnospirales,order,decrease; dominant_evidence=2; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA399638; comparators=Mucosal samples;Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA399638,2.0,0.0,0.0,0.0,Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179,*;D006262,raw_human_phenotype
MDR_00217,gutm_disorder_human_phenotype,结直肠癌（CRC）,Lactobacillaceae,,lactobacillaceae,Lactobacillaceae,family,increase; dominant_evidence=3; dominant_projects=1; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=28153960; dominant_projects=PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,28153960,PRJNA399638,3.0,0.0,1.0,0.0,Health;Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262,literature_human_phenotype;raw_human_phenotype
MDR_00218,gutm_disorder_human_phenotype,结直肠癌（CRC）,Lactobacillales,,lactobacillales,Lactobacillales,order,increase; dominant_evidence=2; dominant_projects=1; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA399638; comparators=Mucosal samples;Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA399638,2.0,0.0,0.0,0.0,Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179,*;D006262,raw_human_phenotype
MDR_00219,gutm_disorder_human_phenotype,结直肠癌（CRC）,Lactobacillus,,lactobacillus,Lactobacillus,genus,increase; dominant_evidence=5; dominant_projects=1; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=22622349,28153960,28341746; dominant_projects=PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,22622349;28153960;28341746,PRJNA399638,5.0,0.0,3.0,0.0,Health;Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262,literature_human_phenotype;raw_human_phenotype
MDR_00220,gutm_disorder_human_phenotype,结直肠癌（CRC）,Oscillospiraceae,,oscillospiraceae,Oscillospiraceae,family,decrease; dominant_evidence=3; dominant_projects=3; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJEB10878,PRJNA397219,PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJEB10878;PRJNA397219;PRJNA399638,3.0,0.0,0.0,0.0,Health;Mucosal samples;Health,Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262;D009765,raw_human_phenotype
MDR_00221,gutm_disorder_human_phenotype,结直肠癌（CRC）,Oscillospirales,,oscillospirales,Oscillospirales,order,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA399638; comparators=Mucosal samples;Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA399638,1.0,0.0,0.0,0.0,Mucosal samples;Health,Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179,*;D006262,raw_human_phenotype
MDR_00222,gutm_disorder_human_phenotype,结直肠癌（CRC）,Parvimonas,,parvimonas,Parvimonas,genus,increase; dominant_evidence=7; dominant_projects=4; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=26992426,28600626; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219,PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,26992426;28600626,PRJDB4176;PRJEB10878;PRJNA397219;PRJNA399638,7.0,0.0,2.0,0.0,Health;Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262;D009765,literature_human_phenotype;raw_human_phenotype
MDR_00223,gutm_disorder_human_phenotype,结直肠癌（CRC）,Peptoniphilaceae,,peptoniphilaceae,Peptoniphilaceae,family,increase; dominant_evidence=3; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219; comparators=Health; sequencing=Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJDB4176;PRJEB10878;PRJNA397219,3.0,0.0,0.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D006262;D009765,raw_human_phenotype
MDR_00224,gutm_disorder_human_phenotype,结直肠癌（CRC）,Peptostreptococcaceae,,peptostreptococcaceae,Peptostreptococcaceae,family,increase; dominant_evidence=4; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=22761885; dominant_projects=PRJDB4176,PRJEB10878,PRJNA399638; comparators=Health; Health(gut swab); Health(stool); Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,22761885,PRJDB4176;PRJEB10878;PRJNA399638,4.0,0.0,1.0,0.0,Health;Health(gut swab);Health(stool);Mucosal samples;Health,Colorectal Neoplasms(gut swab)/Health(gut swab);Colorectal Neoplasms(stool)/Health(stool);Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262,literature_human_phenotype;raw_human_phenotype
MDR_00225,gutm_disorder_human_phenotype,结直肠癌（CRC）,Peptostreptococcus,,peptostreptococcus,Peptostreptococcus,genus,increase; dominant_evidence=7; dominant_projects=4; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=26992426,28600626,29687353; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219,PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,26992426;28600626;29687353,PRJDB4176;PRJEB10878;PRJNA397219;PRJNA399638,7.0,0.0,3.0,0.0,Health;Mucosal samples;Health,Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262;D009765,literature_human_phenotype;raw_human_phenotype
MDR_00226,gutm_disorder_human_phenotype,结直肠癌（CRC）,Porphyromonadaceae,,porphyromonadaceae,Porphyromonadaceae,family,increase; dominant_evidence=5; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=22761885; dominant_projects=PRJDB4176,PRJEB10878,PRJNA399638; comparators=Health; Health(gut swab); Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,22761885,PRJDB4176;PRJEB10878;PRJNA399638,5.0,0.0,1.0,0.0,Health;Health(gut swab);Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Colorectal Neoplasms(gut swab)/Health(gut swab);Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262,literature_human_phenotype;raw_human_phenotype
MDR_00227,gutm_disorder_human_phenotype,结直肠癌（CRC）,Porphyromonas,,porphyromonas,Porphyromonas,genus,increase; dominant_evidence=9; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=24316595,26992426,27171425,28600626,29687353; dominant_projects=PRJDB4176,PRJNA397219,PRJNA399638; comparators=Health; Mucosal samples;Health; sequencing=16s rRNA gene sequencing; Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,24316595;26992426;27171425;28600626;29687353,PRJDB4176;PRJNA397219;PRJNA399638,9.0,0.0,5.0,0.0,Health;Mucosal samples;Health,Adjacent Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health;Colorectal Neoplasms/Health;Tumor mucosal samples;Colorectal Neoplasms/Mucosal samples;Health,*;D015179;D015179,*;D006262;D006262;D009765,literature_human_phenotype;raw_human_phenotype
MDR_00228,gutm_disorder_human_phenotype,结直肠癌（CRC）,Prevotella copri,,prevotellacopri,Prevotella,species,decrease; dominant_evidence=2; dominant_projects=2; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJDB4176,PRJNA397219; comparators=Health; sequencing=Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJDB4176;PRJNA397219,2.0,0.0,0.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D006262;D009765,raw_human_phenotype
MDR_00229,gutm_disorder_human_phenotype,结直肠癌（CRC）,Ruminococcaceae unclassified,,ruminococcaceaeunclassified,Ruminococcaceae,genus,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA397219; comparators=Health; sequencing=Whole metagenomic sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA397219,1.0,0.0,0.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D009765,raw_human_phenotype
MDR_00230,gutm_disorder_human_phenotype,结直肠癌（CRC）,Tissierellales,,tissierellales,Tissierellales,order,increase; dominant_evidence=3; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219; comparators=Health; sequencing=Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJDB4176;PRJEB10878;PRJNA397219,3.0,0.0,0.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D006262;D009765,raw_human_phenotype
MDR_00231,gutm_disorder_human_phenotype,结直肠癌（CRC）,Tissierellia,,tissierellia,Tissierellia,class,increase; dominant_evidence=3; dominant_projects=3; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,"gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJDB4176,PRJEB10878,PRJNA397219; comparators=Health; sequencing=Whole metagenomic sequencing; conflicting_evidence=none",gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJDB4176;PRJEB10878;PRJNA397219,3.0,0.0,0.0,0.0,Health,Colorectal Neoplasms/Health,D015179,D006262;D009765,raw_human_phenotype
MDR_00232,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Alistipes,,alistipes,Alistipes,genus,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00233,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Bacteroidaceae,,bacteroidaceae,Bacteroidaceae,family,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00234,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Bacteroidales,,bacteroidales,Bacteroidales,order,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00235,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Bacteroides,,bacteroides,Bacteroides,genus,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00236,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Bacteroidia,,bacteroidia,Bacteroidia,class,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00237,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Clostridia,,clostridia,Clostridia,class,increase; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00238,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Faecalibacterium,,faecalibacterium,Faecalibacterium,genus,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00239,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Firmicutes,,firmicutes,Firmicutes,phylum,increase; dominant_evidence=2; dominant_projects=1; conflicting_evidence=0,increase,disease_enriched,risk,increase,inhibit,high,gutMDisorder human phenotype aggregate; branches=literature_human_phenotype; raw_human_phenotype; dominant_pmids=32991818; dominant_projects=PRJNA373876; comparators=Health; Tissue Donors; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,32991818,PRJNA373876,2.0,0.0,1.0,0.0,Health;Tissue Donors,Irritable Bowel Syndrome/Health;Irritable bowel syndrome/Tissue Donors,D043183,D006262;D014019,literature_human_phenotype;raw_human_phenotype
MDR_00240,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Oscillospiraceae,,oscillospiraceae,Oscillospiraceae,family,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00241,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Rikenellaceae,,rikenellaceae,Rikenellaceae,family,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00242,gutm_disorder_human_phenotype,肠易激综合征（IBS）,Subdoligranulum,,subdoligranulum,Subdoligranulum,genus,decrease; dominant_evidence=1; dominant_projects=1; conflicting_evidence=0,decrease,control_enriched,protective,decrease,promote,high,gutMDisorder human phenotype aggregate; branches=raw_human_phenotype; dominant_pmids=none; dominant_projects=PRJNA373876; comparators=Health; sequencing=16s rRNA gene sequencing; conflicting_evidence=none,gutMDisorder v2.0,data/reference/disease_microbe_gutm_disorder_supplement.csv,https://bio-computing.hrbmu.edu.cn/gutMDisorder/browse.dhtml,,PRJNA373876,1.0,0.0,0.0,0.0,Health,Irritable Bowel Syndrome/Health,D043183,D006262,raw_human_phenotype
MDR_00243,disease_to_microbe,痔疮,Staphylococcus,葡萄球菌属,staphylococcus,Staphylococcus,genus,↑痔疮组织中富集,increase,促进,unknown,increase,inhibit,medium,痔疮脱出、皮肤屏障受损后，皮肤菌群逆行定植，痔疮微生物组受皮肤菌群影响,disease_microbe_dictionary,data/reference/disease_microbe_dictionary.csv,,,,,,,,,,,,
MDR_00244,disease_to_microbe,痔疮,Family XI（梭菌科）,第十一家族,familyxi梭菌科,Family,family,↓丰度减少,decrease,抑制,unknown,decrease,promote,medium,MR证实为保护性菌群（OR=0.974，P=0.027）,disease_microbe_dictionary,data/reference/disease_microbe_dictionary.csv,,,,,,,,,,,,
MDR_00245,disease_to_microbe,便秘（Constipation）,Bifidobacterium spp.,双歧杆菌属,bifidobacteriumspp,Bifidobacterium,genus,↓丰度减少,decrease,抑制,unknown,decrease,promote,medium,便秘相关的肠道动力障碍和内容物滞留抑制益生菌定植，IBS-C患者中丰度显著降低,disease_microbe_dictionary,data/reference/disease_microbe_dictionary.csv,,,,,,,,,,,,
MDR_00246,disease_to_microbe,便秘（Constipation）,Megasphaera elsdenii,埃氏巨球形菌,megasphaeraelsdenii,Megasphaera,species,↓丰度减少,decrease,抑制,unknown,decrease,promote,medium,便秘相关的肠道环境抑制产短链脂肪酸菌，IBS-C患者中显著减少（P<0.05）,disease_microbe_dictionary,data/reference/disease_microbe_dictionary.csv,,,,,,,,,,,,
